DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
21-Nov-2019,11:19:00,1533.85,1533.85,1532.20,1532.40,1016,0.00
21-Nov-2019,11:18:00,1534.40,1534.40,1533.90,1533.90,121,0.00
21-Nov-2019,11:17:00,1535.90,1536.15,1534.15,1534.50,2995,0.00
21-Nov-2019,11:16:00,1537.65,1537.65,1535.25,1536.15,3579,0.00
21-Nov-2019,11:15:00,1536.80,1537.90,1536.75,1537.60,2128,0.00
21-Nov-2019,11:14:00,1536.75,1536.80,1536.75,1536.80,944,0.00
21-Nov-2019,11:13:00,1536.80,1536.80,1536.75,1536.75,807,0.00
21-Nov-2019,11:12:00,1536.75,1536.80,1536.75,1536.80,2206,0.00
21-Nov-2019,11:11:00,1536.95,1536.95,1536.75,1536.75,3229,0.00
21-Nov-2019,11:10:00,1536.50,1537.00,1536.50,1536.95,1106,0.00
21-Nov-2019,11:09:00,1534.50,1536.50,1534.35,1536.45,783,0.00
21-Nov-2019,11:08:00,1533.80,1534.50,1533.75,1534.50,424,0.00
21-Nov-2019,11:07:00,1533.80,1533.80,1533.80,1533.80,11,0.00
21-Nov-2019,11:06:00,1532.95,1533.05,1532.95,1533.05,850,0.00
21-Nov-2019,11:05:00,1533.00,1533.05,1532.95,1532.95,647,0.00
21-Nov-2019,11:04:00,1533.05,1533.05,1533.05,1533.05,504,0.00
21-Nov-2019,11:03:00,1533.05,1533.10,1533.00,1533.00,1491,0.00
21-Nov-2019,11:02:00,1532.80,1533.40,1532.80,1533.30,1547,0.00
21-Nov-2019,11:01:00,1530.80,1532.85,1530.80,1532.85,366,0.00
21-Nov-2019,11:00:00,1530.35,1530.55,1530.35,1530.55,472,0.00
21-Nov-2019,10:59:00,1530.35,1530.75,1530.25,1530.40,740,0.00
21-Nov-2019,10:58:00,1529.35,1529.55,1529.35,1529.55,277,0.00
21-Nov-2019,10:57:00,1528.10,1529.85,1528.10,1529.30,989,0.00
21-Nov-2019,10:56:00,1527.75,1528.10,1527.75,1528.05,400,0.00
21-Nov-2019,10:55:00,1527.85,1528.00,1527.75,1528.00,1421,0.00
21-Nov-2019,10:54:00,1527.65,1528.40,1527.65,1528.40,591,0.00
21-Nov-2019,10:53:00,1527.60,1527.90,1527.60,1527.90,157,0.00
21-Nov-2019,10:52:00,1527.65,1527.65,1527.65,1527.65,245,0.00
21-Nov-2019,10:51:00,1527.50,1527.90,1527.45,1527.50,1338,0.00
21-Nov-2019,10:50:00,1527.50,1527.50,1527.45,1527.50,622,0.00
21-Nov-2019,10:49:00,1527.50,1527.50,1527.45,1527.50,469,0.00
21-Nov-2019,10:48:00,1527.55,1527.55,1527.45,1527.50,608,0.00
21-Nov-2019,10:47:00,1527.60,1527.60,1527.55,1527.55,244,0.00
21-Nov-2019,10:46:00,1528.10,1528.10,1527.55,1527.60,7798,0.00
21-Nov-2019,10:45:00,1528.15,1528.20,1528.15,1528.15,324,0.00
21-Nov-2019,10:44:00,1528.35,1528.40,1528.15,1528.15,1923,0.00
21-Nov-2019,10:43:00,1528.35,1528.40,1528.35,1528.40,328,0.00
21-Nov-2019,10:42:00,1528.10,1528.40,1528.10,1528.40,351,0.00
21-Nov-2019,10:41:00,1527.60,1528.10,1527.55,1528.10,1095,0.00
21-Nov-2019,10:40:00,1527.25,1527.65,1527.25,1527.65,972,0.00
21-Nov-2019,10:39:00,1527.30,1527.30,1527.20,1527.20,454,0.00
21-Nov-2019,10:38:00,1527.25,1527.30,1527.25,1527.30,450,0.00
21-Nov-2019,10:37:00,1527.25,1527.30,1527.25,1527.30,1542,0.00
21-Nov-2019,10:36:00,1528.20,1528.20,1527.15,1527.25,1617,0.00
21-Nov-2019,10:35:00,1529.85,1529.90,1528.20,1528.25,3911,0.00
21-Nov-2019,10:34:00,1529.95,1530.00,1529.90,1529.90,1876,0.00
21-Nov-2019,10:33:00,1530.00,1530.00,1529.95,1530.00,373,0.00
21-Nov-2019,10:32:00,1530.00,1530.00,1529.95,1530.00,382,0.00
21-Nov-2019,10:31:00,1530.05,1530.05,1529.95,1530.00,1386,0.00
21-Nov-2019,10:30:00,1530.00,1530.05,1530.00,1530.00,568,0.00
21-Nov-2019,10:29:00,1530.05,1530.05,1530.00,1530.05,728,0.00
21-Nov-2019,10:28:00,1530.05,1530.05,1530.00,1530.00,445,0.00
21-Nov-2019,10:27:00,1530.10,1530.15,1530.00,1530.10,3075,0.00
21-Nov-2019,10:26:00,1530.70,1530.70,1530.05,1530.15,1473,0.00
21-Nov-2019,10:25:00,1531.80,1531.80,1530.55,1530.70,1170,0.00
21-Nov-2019,10:24:00,1532.10,1532.15,1531.85,1531.95,2285,0.00
21-Nov-2019,10:23:00,1535.10,1535.10,1532.10,1532.10,5702,0.00
21-Nov-2019,10:22:00,1535.10,1535.10,1535.05,1535.05,375,0.00
21-Nov-2019,10:21:00,1535.10,1535.10,1535.10,1535.10,152,0.00
21-Nov-2019,10:20:00,1535.10,1535.10,1535.05,1535.05,564,0.00
21-Nov-2019,10:19:00,1535.05,1535.10,1535.05,1535.10,400,0.00
21-Nov-2019,10:18:00,1535.10,1535.10,1535.05,1535.05,416,0.00
21-Nov-2019,10:17:00,1535.10,1535.10,1535.05,1535.10,212,0.00
21-Nov-2019,10:16:00,1535.10,1535.10,1535.05,1535.10,146,0.00
21-Nov-2019,10:15:00,1535.10,1535.15,1535.05,1535.10,674,0.00
21-Nov-2019,10:14:00,1535.15,1535.15,1535.10,1535.10,273,0.00
21-Nov-2019,10:13:00,1535.15,1535.15,1535.10,1535.10,107,0.00
21-Nov-2019,10:12:00,1535.10,1535.15,1535.10,1535.15,636,0.00
21-Nov-2019,10:11:00,1535.25,1535.25,1535.10,1535.10,502,0.00
21-Nov-2019,10:10:00,1535.25,1535.35,1535.25,1535.25,322,0.00
21-Nov-2019,10:09:00,1535.10,1535.10,1535.00,1535.05,1268,0.00
21-Nov-2019,10:08:00,1536.60,1536.60,1535.00,1535.00,2743,0.00
21-Nov-2019,10:07:00,1536.60,1536.60,1536.55,1536.55,364,0.00
21-Nov-2019,10:06:00,1536.55,1537.00,1536.55,1536.60,302,0.00
21-Nov-2019,10:05:00,1535.50,1536.55,1535.50,1536.55,621,0.00
21-Nov-2019,10:04:00,1535.10,1535.70,1535.05,1535.45,894,0.00
21-Nov-2019,10:03:00,1535.10,1535.10,1535.05,1535.10,995,0.00
21-Nov-2019,10:02:00,1535.15,1535.20,1535.05,1535.05,4299,0.00
