,DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
40,03-12-2019,09:22:00,377.4,379.0,377.15,378.75,36198,0.0
41,03-12-2019,09:29:00,377.6,377.85,377.5,377.75,5535,0.0
42,03-12-2019,09:28:00,377.95,377.95,377.45,377.6,4089,0.0
43,02-12-2019,09:18:00,382.35,383.2,382.35,383.0,34744,0.0
44,02-12-2019,09:30:00,379.65,379.65,379.4,379.55,14617,0.0
45,02-12-2019,09:29:00,379.9,380.0,379.6,379.65,19277,0.0
46,29-11-2019,13:54:00,384.75,384.95,384.35,384.95,122268,0.0
47,29-11-2019,09:31:00,373.8,374.0,373.65,374.0,4649,0.0
48,29-11-2019,09:30:00,373.8,373.8,373.6,373.7,1000,0.0
49,28-11-2019,12:49:00,374.85,375.25,374.7,375.1,14459,0.0
50,28-11-2019,09:32:00,372.7,372.9,372.45,372.65,2905,0.0
51,28-11-2019,09:31:00,372.5,372.75,372.2,372.75,6673,0.0
52,27-11-2019,14:55:00,374.0,374.1,374.0,374.1,2529,0.0
53,27-11-2019,09:33:00,371.7,372.0,371.65,371.7,2143,0.0
54,27-11-2019,09:32:00,371.8,372.0,371.2,371.7,39191,0.0
55,26-11-2019,09:39:00,377.6,378.0,377.55,377.7,17584,0.0
56,26-11-2019,09:34:00,377.65,377.9,377.35,377.4,14128,0.0
57,26-11-2019,09:33:00,377.2,377.75,377.1,377.65,7750,0.0
58,25-11-2019,11:26:00,378.5,378.85,378.5,378.85,25631,0.0
59,25-11-2019,09:35:00,373.0,373.6,372.9,373.0,6409,0.0
60,25-11-2019,09:34:00,372.9,373.25,372.9,373.0,9866,0.0
61,22-11-2019,10:28:00,374.65,374.85,374.6,374.8,11412,0.0
62,22-11-2019,09:36:00,373.85,374.0,373.5,373.5,19883,0.0
63,22-11-2019,09:35:00,373.8,373.95,373.75,373.8,14445,0.0
64,21-11-2019,10:34:00,376.0,376.15,375.65,376.05,44442,0.0
65,21-11-2019,09:37:00,370.35,370.5,369.35,370.0,33562,0.0
66,21-11-2019,09:36:00,370.5,370.6,370.2,370.2,41375,0.0
67,20-11-2019,10:25:00,375.55,377.1,375.5,376.35,140456,0.0
68,20-11-2019,09:38:00,365.65,366.3,365.35,366.0,32945,0.0
69,20-11-2019,09:37:00,365.45,365.65,365.15,365.65,12224,0.0
70,19-11-2019,09:17:00,367.3,367.85,367.2,367.4,21106,0.0
71,19-11-2019,09:39:00,365.0,365.25,364.85,364.95,8577,0.0
72,19-11-2019,09:38:00,364.5,365.0,364.5,365.0,9671,0.0
73,18-11-2019,10:45:00,367.0,367.4,366.95,367.25,8346,0.0
74,18-11-2019,09:40:00,366.35,366.35,366.3,366.3,963,0.0
75,18-11-2019,09:39:00,366.4,366.5,366.3,366.3,2237,0.0
76,15-11-2019,09:22:00,370.5,370.85,370.45,370.7,17075,0.0
77,15-11-2019,09:41:00,367.7,368.0,367.45,368.0,14191,0.0
78,15-11-2019,09:40:00,368.5,368.5,367.65,367.8,13875,0.0
79,14-11-2019,09:16:00,373.2,373.5,372.6,373.15,33743,0.0
80,14-11-2019,09:42:00,371.65,371.95,371.65,371.75,6805,0.0
81,14-11-2019,09:41:00,371.95,371.95,371.65,371.7,2308,0.0
82,13-11-2019,09:16:00,390.75,390.95,390.5,390.8,77862,0.0
83,13-11-2019,09:43:00,389.0,389.2,389.0,389.1,6630,0.0
84,13-11-2019,09:42:00,388.85,389.1,388.7,389.1,12272,0.0
85,11-11-2019,11:31:00,389.1,389.1,388.8,389.0,30055,0.0
86,11-11-2019,09:44:00,385.4,385.85,385.35,385.85,5109,0.0
87,11-11-2019,09:43:00,385.65,385.65,385.35,385.4,2576,0.0
88,08-11-2019,09:56:00,390.4,390.65,390.25,390.65,474,0.0
89,08-11-2019,09:45:00,390.35,390.35,390.2,390.2,533,0.0
